Vendedor,País,Produto,Data,Valor,Caixas Enviadas,Valor_por_Caixa,Ano,Mes
Roddy Speechley,India,Smooth Sliky Salty,2022-08-10,5103.0,140,36.45,2022,8
Jan Morforth,India,Eclairs,2022-01-05,2541.0,27,94.11111111111111,2022,1
Ches Bonnell,UK,Smooth Sliky Salty,2022-07-11,5663.0,110,51.481818181818184,2022,7
Wilone O'Kielt,USA,After Nines,2022-04-25,392.0,30,13.066666666666666,2022,4
Gigi Bohling,New Zealand,Fruit & Nut Bars,2022-04-04,10976.0,121,90.7107438016529,2022,4
Barr Faughny,USA,Raspberry Choco,2022-04-12,9282.0,101,91.9009900990099,2022,4
Wilone O'Kielt,New Zealand,85% Dark Bars,2022-08-02,1827.0,117,15.615384615384615,2022,8
Gigi Bohling,New Zealand,Manuka Honey Choco,2022-06-28,8267.0,272,30.393382352941178,2022,6
Ches Bonnell,Australia,Eclairs,2022-07-05,4116.0,128,32.15625,2022,7
Rafaelita Blaksland,New Zealand,Choco Coated Almonds,2022-06-07,2093.0,45,46.51111111111111,2022,6
Brien Boise,New Zealand,Smooth Sliky Salty,2022-01-18,1015.0,27,37.592592592592595,2022,1
Brien Boise,Australia,Baker's Choco Chips,2022-01-04,12516.0,212,59.0377358490566,2022,1
Dennison Crosswaite,Australia,99% Dark & Pure,2022-01-31,2758.0,18,153.22222222222223,2022,1
Kelci Walkden,India,Almond Choco,2022-03-14,3297.0,149,22.12751677852349,2022,3
Camilla Castle,Australia,70% Dark Bites,2022-04-29,6048.0,477,12.679245283018869,2022,4
Oby Sorrel,India,Smooth Sliky Salty,2022-02-07,10101.0,108,93.52777777777777,2022,2
Kaine Padly,UK,Organic Choco Syrup,2022-03-31,2282.0,178,12.820224719101123,2022,3
Marney O'Breen,India,Caramel Stuffed Bars,2022-03-16,4361.0,81,53.839506172839506,2022,3
Karlen McCaffrey,UK,Eclairs,2022-01-25,7798.0,196,39.785714285714285,2022,1
Van Tuxwell,India,Baker's Choco Chips,2022-06-20,3052.0,447,6.827740492170022,2022,6
Gigi Bohling,UK,After Nines,2022-03-29,8029.0,175,45.88,2022,3
Curtice Advani,Australia,Orange Choco,2022-07-12,854.0,136,6.279411764705882,2022,7
Jehu Rudeforth,Canada,Smooth Sliky Salty,2022-07-11,5460.0,138,39.56521739130435,2022,7
Karlen McCaffrey,Canada,Smooth Sliky Salty,2022-01-19,3017.0,184,16.39673913043478,2022,1
Andria Kimpton,USA,85% Dark Bars,2022-04-05,8911.0,82,108.67073170731707,2022,4
Jehu Rudeforth,Canada,Milk Bars,2022-02-21,7203.0,12,600.25,2022,2
Rafaelita Blaksland,New Zealand,Caramel Stuffed Bars,2022-05-20,13083.0,14,934.5,2022,5
Mallorie Waber,Australia,Milk Bars,2022-07-29,2779.0,104,26.721153846153847,2022,7
Barr Faughny,USA,Fruit & Nut Bars,2022-01-28,9058.0,46,196.91304347826087,2022,1
Marney O'Breen,UK,Caramel Stuffed Bars,2022-07-19,3549.0,112,31.6875,2022,7
Mallorie Waber,New Zealand,Manuka Honey Choco,2022-04-13,9436.0,11,857.8181818181819,2022,4
Roddy Speechley,India,Peanut Butter Cubes,2022-02-11,10283.0,21,489.6666666666667,2022,2
Roddy Speechley,New Zealand,Milk Bars,2022-03-02,5446.0,116,46.94827586206897,2022,3
Ches Bonnell,Australia,White Choc,2022-03-02,1043.0,202,5.163366336633663,2022,3
Van Tuxwell,USA,99% Dark & Pure,2022-07-28,12586.0,6,2097.6666666666665,2022,7
Kelci Walkden,India,After Nines,2022-01-07,1687.0,520,3.2442307692307693,2022,1
Brien Boise,UK,White Choc,2022-04-12,5299.0,167,31.730538922155688,2022,4
Van Tuxwell,Canada,Almond Choco,2022-06-27,3213.0,72,44.625,2022,6
Jehu Rudeforth,Australia,50% Dark Bites,2022-01-14,5194.0,418,12.425837320574162,2022,1
Karlen McCaffrey,UK,Baker's Choco Chips,2022-02-07,4753.0,389,12.218508997429305,2022,2
Jehu Rudeforth,Australia,Orange Choco,2022-03-23,13706.0,26,527.1538461538462,2022,3
Marney O'Breen,India,Peanut Butter Cubes,2022-01-10,6489.0,146,44.445205479452056,2022,1
Oby Sorrel,UK,Choco Coated Almonds,2022-03-17,9324.0,41,227.41463414634146,2022,3
Gigi Bohling,USA,Spicy Special Slims,2022-01-21,10829.0,54,200.53703703703704,2022,1
Barr Faughny,Australia,White Choc,2022-07-04,8113.0,370,21.927027027027027,2022,7
Kaine Padly,Canada,Peanut Butter Cubes,2022-07-04,3269.0,176,18.573863636363637,2022,7
Dotty Strutley,USA,Manuka Honey Choco,2022-08-10,273.0,210,1.3,2022,8
Dennison Crosswaite,Australia,50% Dark Bites,2022-04-01,7287.0,12,607.25,2022,4
Gigi Bohling,India,Raspberry Choco,2022-02-22,2583.0,159,16.245283018867923,2022,2
Camilla Castle,UK,White Choc,2022-01-03,9982.0,187,53.37967914438503,2022,1
Karlen McCaffrey,India,Drinking Coco,2022-05-31,4795.0,233,20.5793991416309,2022,5
Dotty Strutley,UK,99% Dark & Pure,2022-01-03,9310.0,282,33.01418439716312,2022,1
Husein Augar,New Zealand,Caramel Stuffed Bars,2022-01-27,497.0,475,1.0463157894736843,2022,1
Barr Faughny,UK,50% Dark Bites,2022-01-28,581.0,65,8.938461538461539,2022,1
Curtice Advani,Australia,Organic Choco Syrup,2022-06-28,3472.0,311,11.163987138263666,2022,6
Husein Augar,UK,Choco Coated Almonds,2022-03-02,4333.0,43,100.76744186046511,2022,3
Wilone O'Kielt,Australia,After Nines,2022-05-27,3325.0,26,127.88461538461539,2022,5
Dennison Crosswaite,USA,Almond Choco,2022-06-30,11718.0,84,139.5,2022,6
Barr Faughny,Canada,Peanut Butter Cubes,2022-06-07,2100.0,78,26.923076923076923,2022,6
Kaine Padly,USA,70% Dark Bites,2022-05-12,4018.0,100,40.18,2022,5
Barr Faughny,New Zealand,Raspberry Choco,2022-07-29,6468.0,66,98.0,2022,7
Dennison Crosswaite,UK,White Choc,2022-08-03,7238.0,265,27.31320754716981,2022,8
Barr Faughny,India,Baker's Choco Chips,2022-08-18,6454.0,141,45.773049645390074,2022,8
Van Tuxwell,New Zealand,Smooth Sliky Salty,2022-06-14,3115.0,42,74.16666666666667,2022,6
Beverie Moffet,UK,White Choc,2022-06-30,6475.0,76,85.19736842105263,2022,6
Camilla Castle,New Zealand,Mint Chip Choco,2022-06-13,1162.0,190,6.11578947368421,2022,6
Ches Bonnell,UK,Orange Choco,2022-04-27,14238.0,54,263.6666666666667,2022,4
Jan Morforth,Australia,White Choc,2022-07-27,3472.0,32,108.5,2022,7
Mallorie Waber,Canada,85% Dark Bars,2022-04-20,1428.0,424,3.3679245283018866,2022,4
Rafaelita Blaksland,India,Spicy Special Slims,2022-01-04,8064.0,134,60.17910447761194,2022,1
Ches Bonnell,Australia,Mint Chip Choco,2022-02-21,9660.0,92,105.0,2022,2
Karlen McCaffrey,Australia,White Choc,2022-01-05,7357.0,48,153.27083333333334,2022,1
Beverie Moffet,India,Drinking Coco,2022-07-15,6055.0,46,131.6304347826087,2022,7
Brien Boise,Australia,Choco Coated Almonds,2022-05-25,5124.0,62,82.64516129032258,2022,5
Karlen McCaffrey,Canada,Eclairs,2022-04-20,3479.0,358,9.717877094972067,2022,4
Gigi Bohling,USA,99% Dark & Pure,2022-06-02,784.0,249,3.1485943775100402,2022,6
Marney O'Breen,UK,Smooth Sliky Salty,2022-05-13,18991.0,88,215.8068181818182,2022,5
Beverie Moffet,New Zealand,Baker's Choco Chips,2022-08-03,1372.0,144,9.527777777777779,2022,8
Beverie Moffet,Australia,Milk Bars,2022-05-25,735.0,390,1.8846153846153846,2022,5
Van Tuxwell,UK,Raspberry Choco,2022-03-16,6538.0,79,82.75949367088607,2022,3
Jan Morforth,Australia,Orange Choco,2022-07-04,3199.0,122,26.221311475409838,2022,7
Jehu Rudeforth,India,50% Dark Bites,2022-07-05,3472.0,135,25.71851851851852,2022,7
Madelene Upcott,USA,After Nines,2022-03-15,4571.0,430,10.630232558139534,2022,3
Barr Faughny,UK,Raspberry Choco,2022-08-22,5481.0,69,79.43478260869566,2022,8
Ches Bonnell,Australia,70% Dark Bites,2022-01-12,3136.0,125,25.088,2022,1
Marney O'Breen,UK,Baker's Choco Chips,2022-06-10,252.0,154,1.6363636363636365,2022,6
Kaine Padly,Australia,Peanut Butter Cubes,2022-03-25,5460.0,286,19.09090909090909,2022,3
Rafaelita Blaksland,India,Almond Choco,2022-07-27,3395.0,99,34.292929292929294,2022,7
Husein Augar,UK,Caramel Stuffed Bars,2022-04-15,14938.0,433,34.49884526558891,2022,4
Roddy Speechley,India,Orange Choco,2022-06-27,4053.0,19,213.31578947368422,2022,6
Jehu Rudeforth,UK,70% Dark Bites,2022-04-14,5565.0,258,21.569767441860463,2022,4
Husein Augar,Australia,Manuka Honey Choco,2022-03-15,7161.0,92,77.83695652173913,2022,3
Madelene Upcott,USA,Eclairs,2022-03-18,8883.0,200,44.415,2022,3
Brien Boise,India,Eclairs,2022-04-29,1351.0,61,22.147540983606557,2022,4
Mallorie Waber,New Zealand,White Choc,2022-02-25,3171.0,246,12.890243902439025,2022,2
Husein Augar,USA,Milk Bars,2022-03-02,854.0,56,15.25,2022,3
Van Tuxwell,Australia,Milk Bars,2022-06-20,7910.0,87,90.91954022988506,2022,6
Beverie Moffet,Canada,White Choc,2022-07-15,9275.0,173,53.61271676300578,2022,7
Dotty Strutley,Australia,50% Dark Bites,2022-05-12,3108.0,252,12.333333333333334,2022,5
Mallorie Waber,New Zealand,Organic Choco Syrup,2022-07-01,5075.0,256,19.82421875,2022,7
Husein Augar,USA,85% Dark Bars,2022-08-08,378.0,54,7.0,2022,8
Madelene Upcott,Australia,50% Dark Bites,2022-07-25,7350.0,6,1225.0,2022,7
Wilone O'Kielt,UK,Drinking Coco,2022-05-18,3388.0,55,61.6,2022,5
Camilla Castle,India,Peanut Butter Cubes,2022-07-15,11837.0,277,42.73285198555957,2022,7
Curtice Advani,India,70% Dark Bites,2022-07-05,2282.0,44,51.86363636363637,2022,7
Mallorie Waber,USA,Manuka Honey Choco,2022-07-04,5425.0,96,56.510416666666664,2022,7
Dotty Strutley,UK,70% Dark Bites,2022-06-20,1267.0,216,5.8657407407407405,2022,6
Gunar Cockshoot,Australia,Almond Choco,2022-01-25,3752.0,424,8.849056603773585,2022,1
Kaine Padly,New Zealand,Spicy Special Slims,2022-07-01,7728.0,37,208.86486486486487,2022,7
Gigi Bohling,USA,50% Dark Bites,2022-04-13,2296.0,59,38.91525423728814,2022,4
Beverie Moffet,UK,Smooth Sliky Salty,2022-05-04,4403.0,76,57.93421052631579,2022,5
Beverie Moffet,Australia,Baker's Choco Chips,2022-08-04,3192.0,109,29.28440366972477,2022,8
Beverie Moffet,India,70% Dark Bites,2022-06-01,448.0,146,3.0684931506849313,2022,6
Jehu Rudeforth,UK,Choco Coated Almonds,2022-04-22,4270.0,185,23.08108108108108,2022,4
Kaine Padly,USA,50% Dark Bites,2022-08-03,70.0,27,2.5925925925925926,2022,8
Ches Bonnell,USA,Orange Choco,2022-06-10,1743.0,69,25.26086956521739,2022,6
Gunar Cockshoot,UK,Manuka Honey Choco,2022-06-27,6762.0,46,147.0,2022,6
Marney O'Breen,Australia,Smooth Sliky Salty,2022-01-03,3745.0,170,22.029411764705884,2022,1
Marney O'Breen,India,After Nines,2022-07-11,2639.0,179,14.743016759776536,2022,7
Ches Bonnell,New Zealand,Milk Bars,2022-08-17,4389.0,126,34.833333333333336,2022,8
Rafaelita Blaksland,USA,Fruit & Nut Bars,2022-01-18,2604.0,65,40.06153846153846,2022,1
Ches Bonnell,India,Organic Choco Syrup,2022-03-08,16569.0,99,167.36363636363637,2022,3
Mallorie Waber,Australia,Orange Choco,2022-03-07,14658.0,275,53.301818181818184,2022,3
Husein Augar,India,70% Dark Bites,2022-05-09,6454.0,157,41.10828025477707,2022,5
Barr Faughny,New Zealand,85% Dark Bars,2022-05-23,2100.0,157,13.375796178343949,2022,5
Madelene Upcott,UK,Caramel Stuffed Bars,2022-04-15,161.0,145,1.110344827586207,2022,4
Gigi Bohling,Australia,Drinking Coco,2022-07-27,2807.0,139,20.194244604316548,2022,7
Marney O'Breen,Canada,Choco Coated Almonds,2022-08-22,2639.0,406,6.5,2022,8
Ches Bonnell,USA,70% Dark Bites,2022-05-11,4571.0,122,37.467213114754095,2022,5
Madelene Upcott,India,Organic Choco Syrup,2022-01-26,4781.0,38,125.8157894736842,2022,1
Barr Faughny,USA,50% Dark Bites,2022-04-14,13034.0,117,111.4017094017094,2022,4
Dennison Crosswaite,New Zealand,Mint Chip Choco,2022-04-05,6454.0,417,15.477218225419664,2022,4
Marney O'Breen,New Zealand,Smooth Sliky Salty,2022-06-14,8484.0,57,148.8421052631579,2022,6
Brien Boise,Canada,Almond Choco,2022-04-13,4781.0,125,38.248,2022,4
Beverie Moffet,Australia,White Choc,2022-06-27,2240.0,166,13.493975903614459,2022,6
Dotty Strutley,Australia,Eclairs,2022-01-26,6979.0,3,2326.3333333333335,2022,1
Barr Faughny,UK,White Choc,2022-07-05,1652.0,72,22.944444444444443,2022,7
Beverie Moffet,Canada,Baker's Choco Chips,2022-01-11,13447.0,95,141.54736842105262,2022,1
Kelci Walkden,USA,White Choc,2022-03-07,9422.0,22,428.27272727272725,2022,3
Kaine Padly,Canada,50% Dark Bites,2022-03-04,8687.0,100,86.87,2022,3
Karlen McCaffrey,Canada,Organic Choco Syrup,2022-07-15,2415.0,312,7.740384615384615,2022,7
Kaine Padly,UK,Peanut Butter Cubes,2022-05-11,6272.0,86,72.93023255813954,2022,5
Karlen McCaffrey,USA,Milk Bars,2022-01-27,4389.0,7,627.0,2022,1
Karlen McCaffrey,India,Orange Choco,2022-06-27,3122.0,149,20.953020134228186,2022,6
Ches Bonnell,India,Smooth Sliky Salty,2022-08-03,8043.0,18,446.8333333333333,2022,8
Wilone O'Kielt,New Zealand,Mint Chip Choco,2022-08-19,11662.0,242,48.1900826446281,2022,8
Wilone O'Kielt,Australia,Fruit & Nut Bars,2022-06-15,392.0,102,3.843137254901961,2022,6
Dennison Crosswaite,UK,Peanut Butter Cubes,2022-02-07,8925.0,158,56.4873417721519,2022,2
Karlen McCaffrey,Australia,Almond Choco,2022-07-08,7294.0,128,56.984375,2022,7
Dennison Crosswaite,India,Milk Bars,2022-04-21,1526.0,96,15.895833333333334,2022,4
Ches Bonnell,UK,Mint Chip Choco,2022-04-08,2688.0,209,12.861244019138756,2022,4
Husein Augar,Australia,50% Dark Bites,2022-08-19,14889.0,52,286.3269230769231,2022,8
Jan Morforth,India,Fruit & Nut Bars,2022-05-04,2912.0,55,52.945454545454545,2022,5
